,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,address,latitude,longitude
2100,17A,LOR 7 TOA PAYOH,3,1991,N,Y,N,N,N,N,0,17A LOR 7 TOA PAYOH,1.336152104,103.8569831
2101,17A,MARINE TER,1,2004,N,N,N,N,N,Y,0,17A MARINE TER,1.303477124,103.9143674
2104,17B,TELOK BLANGAH CRES,1,2005,N,N,N,N,N,Y,0,17B TELOK BLANGAH CRES,1.277286876,103.8219407
2111,170,LOR 1 TOA PAYOH,12,1972,Y,N,N,Y,N,N,308,170 LOR 1 TOA PAYOH,1.33131927,103.8426687
2115,170A,LOMPANG RD,5,1996,N,N,N,N,Y,N,0,170A LOMPANG RD,1.378904492,103.7655672
2119,170D,PUNGGOL EAST,2,2007,N,N,N,N,N,N,0,170D PUNGGOL EAST,1.394060228,103.9150696
2124,171,EDGEDALE PLAINS,5,2002,N,N,N,N,Y,N,0,171 EDGEDALE PLAINS,1.394879981,103.9125801
2132,171A,GANGSA RD,1,1997,N,Y,N,N,N,N,0,171A GANGSA RD,1.379218565,103.7663783
2133,171A,LOR 1 TOA PAYOH,5,1993,N,N,N,N,Y,N,0,171A LOR 1 TOA PAYOH,1.3307811,103.8422384
2134,171A,STIRLING RD,5,1996,N,N,N,N,Y,N,0,171A STIRLING RD,1.290000893,103.8037317
2141,172,EDGEDALE PLAINS,4,2003,N,N,N,N,Y,N,0,172 EDGEDALE PLAINS,1.395528666,103.9117904
2148,172A,HOUGANG AVE 1,6,1996,N,N,N,N,Y,N,0,172A HOUGANG AVE 1,1.350622464,103.8890303
2152,172D,EDGEDALE PLAINS,1,2004,N,N,N,N,N,Y,0,172D EDGEDALE PLAINS,1.395007844,103.9119582
2159,173,PUNGGOL FIELD,1,2002,N,N,N,N,N,Y,0,173 PUNGGOL FIELD,1.397288283,103.9092173
2172,174,PUNGGOL FIELD,3,2001,N,N,N,N,Y,N,0,174 PUNGGOL FIELD,1.396740789,103.9103325
2180,174C,HOUGANG AVE 1,12,2013,Y,Y,N,N,N,N,209,174C HOUGANG AVE 1,1.349122175,103.8890933
2182,174D,HOUGANG AVE 1,12,2013,Y,Y,N,N,N,N,208,174D HOUGANG AVE 1,1.349184751,103.8884649
2189,175,PUNGGOL FIELD,3,2001,N,N,N,N,Y,N,0,175 PUNGGOL FIELD,1.398154006,103.9086268
2192,175,YUNG KUANG RD,5,2013,N,N,N,N,Y,N,0,175 YUNG KUANG RD,1.332332252,103.7217665
2193,175A,LOMPANG RD,1,1996,N,N,N,N,N,Y,0,175A LOMPANG RD,1.379580207,103.7662774
2205,176,EDGEFIELD PLAINS,1,2002,N,N,N,N,N,Y,0,176 EDGEFIELD PLAINS,1.398220727,103.9091576
2208,176,YUNG KUANG RD,1,2014,N,N,N,N,N,Y,0,176 YUNG KUANG RD,1.332969017,103.7208138
2215,177,BOON LAY DR,11,1974,Y,N,N,N,N,N,198,177 BOON LAY DR,1.347810634,103.7095285
2221,177A,LOMPANG RD,3,1999,N,N,N,N,Y,N,0,177A LOMPANG RD,1.380669849,103.7649552
2222,177B,LOMPANG RD,1,1999,N,N,N,N,N,Y,0,177B LOMPANG RD,1.380036001,103.7650618
2225,178,BOON LAY DR,11,1974,Y,N,N,N,N,N,198,178 BOON LAY DR,1.347312454,103.7088041
2229,178,RIVERVALE CRES,1,2013,N,N,N,N,N,Y,0,178 RIVERVALE CRES,1.388315995,103.9099843
2239,179,BOON LAY DR,11,1974,Y,N,N,Y,N,N,180,179 BOON LAY DR,1.347033955,103.7089855
2241,179,EDGEFIELD PLAINS,1,2003,N,N,N,N,N,Y,0,179 EDGEFIELD PLAINS,1.399543911,103.9089291
2248,18,CIRCUIT RD,1,2016,N,N,N,N,N,Y,0,18 CIRCUIT RD,1.329253987,103.8894018
2249,18,DAKOTA CRES,7,1958,Y,N,N,N,N,N,56,18 DAKOTA CRES,1.305968629,103.8851991
2253,18,HOLLAND DR,6,2009,N,N,N,Y,Y,N,0,18 HOLLAND DR,1.317535346,103.782113
2255,18,JLN MEMBINA,4,2001,N,Y,N,Y,N,N,0,18 JLN MEMBINA,1.285697429,103.8267854
2256,18,JLN SULTAN,16,1974,Y,Y,N,N,N,N,150,18 JLN SULTAN,1.303274142,103.862615
2268,18,UPP BOON KENG RD,2,1974,N,Y,N,N,N,N,0,18 UPP BOON KENG RD,1.314803515,103.8723015
2270,18A,DOVER CRES,1,2003,N,N,N,N,N,Y,0,18A DOVER CRES,1.307906496,103.7829589
2272,18A,JLN MEMBINA,6,2001,N,N,N,N,Y,N,0,18A JLN MEMBINA,1.285254633,103.8267644
2273,18A,LOR 6 TOA PAYOH,3,2004,N,N,N,N,Y,N,0,18A LOR 6 TOA PAYOH,1.33607386,103.8565805
2274,18A,ST. GEORGE'S RD,1,2001,N,N,N,N,N,Y,0,18A ST. GEORGE'S RD,1.324141118,103.8628918
2284,180,BOON LAY DR,5,2012,N,N,N,N,Y,Y,0,180 BOON LAY DR,1.348081546,103.7081771
2286,180,EDGEFIELD PLAINS,4,2002,N,N,N,N,Y,N,0,180 EDGEFIELD PLAINS,1.398612241,103.9093498
2288,180,MARSILING RD,1,2014,N,N,N,N,N,Y,0,180 MARSILING RD,1.439817298,103.7787817
2290,180,RIVERVALE CRES,8,2012,N,N,N,N,Y,N,0,180 RIVERVALE CRES,1.389900879,103.9100556
2293,180A,LOMPANG RD,3,1999,N,N,N,N,Y,N,0,180A LOMPANG RD,1.378709142,103.7649788
2295,180A,PASIR RIS ST 11,5,1992,N,N,N,N,Y,N,0,180A PASIR RIS ST 11,1.364727942,103.9600977
2301,180C,MARSILING RD,31,2014,Y,N,N,N,N,N,420,180C MARSILING RD,1.439560714,103.7785878
2310,181,LOR 4 TOA PAYOH,2,1973,N,Y,N,N,N,N,0,181 LOR 4 TOA PAYOH,1.333619362,103.8509787
2311,181,MARSILING RD,3,2014,N,N,N,N,Y,N,0,181 MARSILING RD,1.439607648,103.7793761
2313,181,RIVERVALE CRES,1,2013,N,N,N,N,N,Y,0,181 RIVERVALE CRES,1.390550449,103.9098104
2317,181A,JELEBU RD,6,2000,N,N,N,N,Y,N,0,181A JELEBU RD,1.379409662,103.7634631
2322,182,BOON LAY AVE,1,2014,N,N,N,N,N,Y,0,182 BOON LAY AVE,1.348869901,103.7089648
2327,182,RIVERVALE CRES,18,2012,Y,N,N,Y,N,N,438,182 RIVERVALE CRES,1.39047127,103.9092158
2329,182,WOODLANDS ST 13,7,2018,N,Y,N,N,Y,N,0,182 WOODLANDS ST 13,1.435158951,103.7760233
2331,182A,RIVERVALE CRES,1,2012,N,Y,N,N,N,N,0,182A RIVERVALE CRES,1.390452729,103.9088923
2332,182A,STIRLING RD,1,1999,N,N,N,N,N,Y,0,182A STIRLING RD,1.295470807,103.8046376
2333,182A,WOODLANDS ST 13,32,2018,Y,N,N,Y,N,N,283,182A WOODLANDS ST 13,1.435696542,103.7755158
2334,182A,YUNG SHENG RD,1,2000,N,N,N,N,N,Y,0,182A YUNG SHENG RD,1.333545797,103.7226775
2335,182B,WOODLANDS ST 13,30,2018,Y,N,N,N,N,N,148,182B WOODLANDS ST 13,1.43540518,103.77636
2338,183,BOON LAY AVE,5,2013,N,N,N,N,Y,N,0,183 BOON LAY AVE,1.349263797,103.7093565
2343,183,RIVERVALE CRES,1,2001,N,N,N,N,N,Y,0,183 RIVERVALE CRES,1.391765415,103.9081589
2346,183,WOODLANDS ST 13,1,2018,N,N,N,N,N,Y,0,183 WOODLANDS ST 13,1.434604601,103.7764648
2349,183A,CORPORATION DR,5,1999,N,N,N,N,Y,N,0,183A CORPORATION DR,1.332924737,103.7224504
2350,183A,JELEBU RD,1,2001,N,N,N,N,N,Y,0,183A JELEBU RD,1.37994475,103.7626754
2352,183A,WOODLANDS ST 13,29,2018,Y,N,N,Y,N,N,150,183A WOODLANDS ST 13,1.435415506,103.7774071
2355,183B,WOODLANDS ST 13,24,2018,Y,N,N,Y,N,N,120,183B WOODLANDS ST 13,1.435118808,103.7771428
2358,183C,WOODLANDS ST 13,27,2018,Y,N,N,N,N,N,154,183C WOODLANDS ST 13,1.43465688,103.7767268
2361,184,BEDOK NTH RD,6,2003,N,N,N,Y,Y,N,0,184 BEDOK NTH RD,1.326094626,103.9413859
2367,184,RIVERVALE CRES,4,2001,N,N,N,N,Y,N,0,184 RIVERVALE CRES,1.392089589,103.9082811
2370,184,WOODLANDS ST 13,2,2018,N,N,N,Y,N,Y,0,184 WOODLANDS ST 13,1.435802215,103.7773004
2372,184A,BEDOK NTH RD,1,2004,N,N,N,N,N,Y,0,184A BEDOK NTH RD,1.326131513,103.9421041
2373,184A,CORPORATION DR,1,2000,N,N,N,N,N,Y,0,184A CORPORATION DR,1.332865434,103.7218893
2375,184A,WOODLANDS ST 13,28,2018,Y,N,N,Y,N,N,156,184A WOODLANDS ST 13,1.436115699,103.7770874
2385,185,RIVERVALE CRES,5,1999,N,N,N,N,Y,N,0,185 RIVERVALE CRES,1.393767341,103.9067332
2387,185,WOODLANDS ST 13,8,2018,N,N,N,N,Y,N,0,185 WOODLANDS ST 13,1.436275659,103.7764723
2388,185A,JELEBU RD,6,2000,N,N,N,N,Y,N,0,185A JELEBU RD,1.379149296,103.762596
2389,185A,PASIR RIS ST 11,1,1993,N,N,N,N,N,Y,0,185A PASIR RIS ST 11,1.365293651,103.9599577
2391,185A,WOODLANDS ST 13,22,2018,Y,N,N,N,N,N,400,185A WOODLANDS ST 13,1.436235671,103.775466
2393,185B,WOODLANDS ST 13,29,2018,Y,N,N,Y,N,N,215,185B WOODLANDS ST 13,1.435856504,103.7762941
2395,185C,WOODLANDS ST 13,22,2018,Y,N,N,N,N,N,120,185C WOODLANDS ST 13,1.435885039,103.7765983
2397,186,BEDOK NTH ST 4,1,2018,N,N,N,N,N,Y,0,186 BEDOK NTH ST 4,1.330166123,103.9401003
2403,186,RIVERVALE CRES,1,1999,N,N,N,N,N,Y,0,186 RIVERVALE CRES,1.393358217,103.9061389
2405,186,WOODLANDS ST 13,1,2018,N,N,N,N,N,Y,0,186 WOODLANDS ST 13,1.43605464,103.7759175
2406,186A,BEDOK NTH ST 4,19,2017,Y,N,N,N,N,N,126,186A BEDOK NTH ST 4,1.329914274,103.9403105
2408,186B,BEDOK NTH ST 4,19,2017,Y,N,N,N,N,N,126,186B BEDOK NTH ST 4,1.330037362,103.9408422
2412,187,BEDOK NTH ST 4,7,2017,N,N,N,Y,Y,N,0,187 BEDOK NTH ST 4,1.330835437,103.9406413
2418,187A,BEDOK NTH ST 4,19,2017,Y,N,N,N,N,N,144,187A BEDOK NTH ST 4,1.330870947,103.9402108
2420,187B,BEDOK NTH ST 4,19,2017,Y,N,N,Y,N,N,144,187B BEDOK NTH ST 4,1.330498798,103.9399957
2422,188,BEDOK NTH ST 4,1,2019,N,N,N,N,N,Y,0,188 BEDOK NTH ST 4,1.331460313,103.9409242
2428,188,RIVERVALE DR,1,1998,N,N,N,N,N,Y,0,188 RIVERVALE DR,1.39480632,103.90484
2429,188A,BEDOK NTH ST 4,16,2017,Y,N,N,N,N,N,104,188A BEDOK NTH ST 4,1.331633531,103.9413713
2430,188A,BT BATOK WEST AVE 6,5,1995,N,N,N,N,Y,N,0,188A BT BATOK WEST AVE 6,1.346432573,103.745354
2432,188B,BEDOK NTH ST 4,16,2017,Y,N,N,N,N,N,84,188B BEDOK NTH ST 4,1.331962497,103.9414676
2434,188C,BEDOK NTH ST 4,16,2018,Y,N,N,N,N,N,150,188C BEDOK NTH ST 4,1.33180346,103.9407859
2436,188D,BEDOK NTH ST 4,19,2018,Y,N,N,N,N,N,180,188D BEDOK NTH ST 4,1.331684204,103.9404931
2438,188E,RIVERVALE DR,5,1998,N,N,N,N,Y,N,0,188E RIVERVALE DR,1.394691322,103.904566
2440,189,BOON LAY DR,11,1974,Y,Y,N,N,N,N,100,189 BOON LAY DR,1.344426686,103.7114628
2443,189,PUNGGOL CTRL,1,2003,N,N,N,N,N,Y,0,189 PUNGGOL CTRL,1.399023896,103.9101199
2456,19,JLN SULTAN,16,1974,Y,N,N,Y,N,N,150,19 JLN SULTAN,1.303707701,103.8623445
2461,19,LOR 7 TOA PAYOH,2,1969,N,Y,N,N,N,N,0,19 LOR 7 TOA PAYOH,1.335282286,103.8565042
2467,19,TELOK BLANGAH CRES,14,1974,Y,N,N,N,N,N,364,19 TELOK BLANGAH CRES,1.277462788,103.822653
2469,19,UPP BOON KENG RD,13,1975,Y,N,N,Y,N,N,360,19 UPP BOON KENG RD,1.315066644,103.8735697
2470,19A,BEDOK STH RD,4,2008,N,N,N,N,Y,N,0,19A BEDOK STH RD,1.320476593,103.9341765
2471,19A,DOVER CRES,5,1999,N,Y,N,N,Y,N,0,19A DOVER CRES,1.307353802,103.7845484
2472,19A,JLN MEMBINA,1,2001,N,N,N,N,N,Y,0,19A JLN MEMBINA,1.285291726,103.8263232
2473,19A,JLN TENTERAM,5,1999,N,N,N,N,Y,N,0,19A JLN TENTERAM,1.327551323,103.8594688
2474,19A,LOR 7 TOA PAYOH,1,2005,N,N,N,N,N,Y,0,19A LOR 7 TOA PAYOH,1.334759336,103.856538
2475,19A,QUEEN'S CL,5,1994,N,N,N,N,Y,N,0,19A QUEEN'S CL,1.292972875,103.8005353
2476,19B,JLN TENTERAM,1,2000,N,N,N,N,N,Y,0,19B JLN TENTERAM,1.327801071,103.8596348
2478,190,BOON LAY DR,11,1974,Y,N,N,Y,N,N,100,190 BOON LAY DR,1.345076762,103.7118504
2480,190,LOR 6 TOA PAYOH,5,1986,N,Y,N,Y,Y,N,0,190 LOR 6 TOA PAYOH,1.332978503,103.848761
2485,190C,RIVERVALE DR,4,1998,N,N,N,N,Y,N,0,190C RIVERVALE DR,1.394778041,103.9024378
2494,191C,RIVERVALE DR,4,1998,N,N,N,N,Y,N,0,191C RIVERVALE DR,1.394118474,103.9038289
2497,192,LOR 4 TOA PAYOH,2,1973,N,Y,N,Y,N,N,0,192 LOR 4 TOA PAYOH,1.331690082,103.8506198
2500,192,RIVERVALE DR,1,1999,N,N,N,N,N,Y,0,192 RIVERVALE DR,1.394346727,103.9026817
2511,194,BT BATOK WEST AVE 6,3,2016,N,N,N,N,Y,Y,0,194 BT BATOK WEST AVE 6,1.344638647,103.7450025
2514,194,PUNGGOL RD,6,2005,N,N,N,Y,Y,N,0,194 PUNGGOL RD,1.402024262,103.9065241
2516,194A,BT BATOK WEST AVE 6,36,2016,Y,N,N,N,N,N,212,194A BT BATOK WEST AVE 6,1.344680501,103.7455139
2517,194A,KIM KEAT AVE,3,2005,N,N,N,N,Y,N,0,194A KIM KEAT AVE,1.331119826,103.8585479
2518,194A,RIVERVALE DR,1,2000,N,N,N,N,N,Y,0,194A RIVERVALE DR,1.392946323,103.9018611
2519,194B,BT BATOK WEST AVE 6,36,2016,Y,N,N,N,N,N,276,194B BT BATOK WEST AVE 6,1.345132839,103.744862
2523,195,PUNGGOL RD,1,2006,N,N,N,N,N,Y,0,195 PUNGGOL RD,1.401470535,103.9067023
2525,195A,KIM KEAT AVE,1,2005,N,N,N,N,N,Y,0,195A KIM KEAT AVE,1.330402523,103.8585825
2527,195A,RIVERVALE DR,5,1999,N,N,N,N,Y,N,0,195A RIVERVALE DR,1.393282704,103.9025762
2533,196,BOON LAY DR,6,2014,N,N,N,N,Y,Y,0,196 BOON LAY DR,1.342540562,103.7137244
2534,196,KIM KEAT AVE,25,2015,Y,N,N,Y,N,Y,188,196 KIM KEAT AVE,1.331304924,103.8590192
2536,196,PUNGGOL FIELD,4,2000,N,N,N,N,Y,N,0,196 PUNGGOL FIELD,1.399368899,103.907059
2546,197,PUNGGOL FIELD,1,2001,N,N,N,N,N,Y,0,197 PUNGGOL FIELD,1.399642484,103.9066023
2556,198,PUNGGOL FIELD,2,2001,N,Y,N,N,N,N,0,198 PUNGGOL FIELD,1.399462957,103.9064024
2559,199,PUNGGOL FIELD,4,2000,N,N,N,N,Y,N,0,199 PUNGGOL FIELD,1.400164306,103.9060222
2561,199A,PASIR RIS ST 12,5,1992,N,N,N,N,Y,N,0,199A PASIR RIS ST 12,1.366498786,103.9595951
2566,2,BALESTIER RD,4,1977,N,Y,N,N,N,N,0,2 BALESTIER RD,1.325896202,103.8429355
2570,2,CHANGI VILLAGE RD,1,1975,N,Y,Y,N,N,N,0,2 CHANGI VILLAGE RD,1.389151662,103.9882452
2573,2,EUNOS CRES,14,1977,Y,N,N,Y,N,N,247,2 EUNOS CRES,1.320753582,103.9028731
2582,2,JLN KUKOH,12,1966,Y,Y,N,N,N,N,264,2 JLN KUKOH,1.288579699,103.8396145
2584,2,JOO CHIAT RD,5,1985,N,Y,N,N,Y,N,0,2 JOO CHIAT RD,1.315521869,103.8989922
2585,2,KITCHENER RD,14,1970,Y,Y,N,Y,N,N,176,2 KITCHENER RD,1.307843411,103.8591731
2596,2,UPP BOON KENG RD,1,2007,N,N,N,N,N,Y,0,2 UPP BOON KENG RD,1.313438712,103.8721403
2597,2A,BALESTIER RD,1,1980,N,Y,N,N,N,N,0,2A BALESTIER RD,1.326163079,103.8437414
2598,2A,BEDOK STH AVE 1,3,2007,N,N,N,N,Y,N,0,2A BEDOK STH AVE 1,1.321748642,103.9339392
2600,2A,C'WEALTH DR,1,2010,N,N,Y,N,N,N,0,2A C'WEALTH DR,1.299463176,103.7978384
2601,2A,DOVER RD,4,2004,N,N,N,N,Y,N,0,2A DOVER RD,1.302886624,103.7836853
2602,2A,EUNOS CRES,2,1981,Y,Y,N,N,N,N,3,2A EUNOS CRES,1.320201105,103.9031935
2604,2A,GHIM MOH RD,2,2001,N,N,N,N,Y,N,0,2A GHIM MOH RD,1.312642744,103.7869434
2605,2A,JLN BT MERAH,4,2004,N,N,N,N,Y,N,0,2A JLN BT MERAH,1.286923739,103.8068153
2606,2A,JOO SENG RD,5,1998,N,N,N,N,Y,N,0,2A JOO SENG RD,1.334491711,103.8792298
2607,2A,LOR LEW LIAN,5,1994,N,N,N,N,Y,N,0,2A LOR LEW LIAN,1.349911239,103.8758003
2608,2A,MARSILING DR,3,1999,N,N,N,N,Y,N,0,2A MARSILING DR,1.440177395,103.7764969
2610,2B,BOON TIONG RD,5,1999,N,N,N,N,Y,N,0,2B BOON TIONG RD,1.286830114,103.8332871
2612,2B,JLN BT MERAH,1,2005,N,N,N,N,N,Y,0,2B JLN BT MERAH,1.286964377,103.8063463
2617,2D,BOON TIONG RD,1,1999,N,N,N,N,N,Y,0,2D BOON TIONG RD,1.286612527,103.832818
2622,20,CANTONMENT CL,1,2001,N,N,N,N,N,Y,0,20 CANTONMENT CL,1.274168967,103.8396376
2624,20,DAKOTA CRES,7,1958,Y,N,N,N,N,N,56,20 DAKOTA CRES,1.306613155,103.8850314
2627,20,GHIM MOH RD,1,2016,N,N,Y,N,N,N,0,20 GHIM MOH RD,1.310996632,103.7882303
2630,20,JLN TENTERAM,10,1962,Y,N,N,Y,N,N,318,20 JLN TENTERAM,1.326767709,103.8599352
2636,20,MARSILING LANE,1,1975,N,Y,Y,N,N,N,0,20 MARSILING LANE,1.443444168,103.7769895
2643,20A,TEBAN GDNS RD,1,2013,N,N,N,N,N,Y,0,20A TEBAN GDNS RD,1.323938107,103.7379724
2645,200,PUNGGOL FIELD,1,2005,N,N,N,N,N,Y,0,200 PUNGGOL FIELD,1.399287316,103.9030733
2646,200,SENGKANG EAST RD,7,1999,N,N,N,N,Y,N,0,200 SENGKANG EAST RD,1.387664975,103.8921589
2650,200C,SENGKANG EAST RD,1,1999,N,N,N,N,N,Y,0,200C SENGKANG EAST RD,1.387426383,103.8924171
2661,201,KIM TIAN RD,3,1992,N,Y,N,N,N,N,0,201 KIM TIAN RD,1.28056599,103.8273748
2664,201,PUNGGOL FIELD,4,2003,N,N,N,N,Y,N,0,201 PUNGGOL FIELD,1.399790631,103.9036842
2666,201,SENGKANG EAST RD,7,1999,N,N,N,N,Y,N,0,201 SENGKANG EAST RD,1.388362254,103.8923975
2667,201,TAMPINES ST 21,1,1985,N,Y,N,N,N,N,0,201 TAMPINES ST 21,1.352895063,103.9535857
2670,201A,BEDOK NTH ST 1,3,1991,N,Y,N,Y,N,N,0,201A BEDOK NTH ST 1,1.326048728,103.9273495
2679,201C,TAMPINES ST 21,1,1985,N,Y,N,N,N,N,0,201C TAMPINES ST 21,1.352824017,103.9529801
2684,201G,TAMPINES ST 21,1,1985,N,Y,N,N,N,N,0,201G TAMPINES ST 21,1.352482706,103.9529277
2693,202,HOUGANG ST 21,3,1983,N,Y,N,N,N,N,0,202 HOUGANG ST 21,1.357527727,103.884086
2703,202A,TAMPINES ST 21,4,2011,N,N,N,N,Y,N,0,202A TAMPINES ST 21,1.353407499,103.9522097
2707,202D,SENGKANG EAST RD,1,1999,N,N,N,N,N,Y,0,202D SENGKANG EAST RD,1.38746145,103.8933112
2708,203,ANG MO KIO AVE 3,11,1976,Y,N,N,N,N,N,160,203 ANG MO KIO AVE 3,1.367616152,103.8442146
2715,203,COMPASSVALE RD,5,1999,N,N,N,N,Y,N,0,203 COMPASSVALE RD,1.387024351,103.8959021
2716,203,HOUGANG ST 21,4,1982,N,Y,N,N,N,N,0,203 HOUGANG ST 21,1.358162936,103.8844003
2721,203,PUNGGOL FIELD,1,2005,N,N,N,N,N,Y,0,203 PUNGGOL FIELD,1.398986646,103.9038538
2727,203A,CHOA CHU KANG AVE 1,5,2001,N,N,N,N,Y,N,0,203A CHOA CHU KANG AVE 1,1.381219272,103.7489457
2741,204,COMPASSVALE DR,5,1999,N,N,N,N,Y,N,0,204 COMPASSVALE DR,1.388041567,103.8953824
2742,204,HOUGANG ST 21,4,1982,N,Y,N,N,N,N,0,204 HOUGANG ST 21,1.358819116,103.8849884
2747,204,PUNGGOL FIELD,4,2004,N,N,N,N,Y,N,0,204 PUNGGOL FIELD,1.39848505,103.9030658
2754,204A,PASIR RIS ST 21,4,1992,N,N,N,N,Y,N,0,204A PASIR RIS ST 21,1.366802132,103.9625576
2761,204E,COMPASSVALE DR,1,2000,N,N,N,N,N,Y,0,204E COMPASSVALE DR,1.387612307,103.8958316
2769,205,HOUGANG ST 21,4,1984,N,Y,N,N,N,N,0,205 HOUGANG ST 21,1.359496648,103.8850799
2782,205D,COMPASSVALE LANE,5,1997,N,Y,N,N,Y,N,0,205D COMPASSVALE LANE,1.385872415,103.8975551
2783,206,ANG MO KIO AVE 1,11,1976,Y,N,N,Y,N,N,160,206 ANG MO KIO AVE 1,1.366631046,103.8433607
2784,206,BEDOK NTH ST 1,2,1979,N,Y,N,Y,N,N,0,206 BEDOK NTH ST 1,1.32649093,103.9308829
2790,206,HOUGANG ST 21,1,1983,N,N,N,N,N,N,0,206 HOUGANG ST 21,1.358437395,103.885357
2799,206A,ANG MO KIO ST 22,1,2006,N,N,N,N,N,Y,0,206A ANG MO KIO ST 22,1.366075577,103.8433842
2800,206A,BOON LAY DR,1,2006,N,N,N,N,N,Y,0,206A BOON LAY DR,1.345319333,103.7155166
2802,206A,PUNGGOL PL,16,2011,Y,N,N,Y,N,N,375,206A PUNGGOL PL,1.39922536,103.901496
2806,206E,COMPASSVALE LANE,1,1998,N,N,N,N,N,Y,0,206E COMPASSVALE LANE,1.386607314,103.8971976
2812,207,CLEMENTI AVE 6,2,2017,N,N,N,Y,N,N,0,207 CLEMENTI AVE 6,1.32231219,103.7623524
2813,207,COMPASSVALE LANE,1,2003,N,N,N,N,N,Y,0,207 COMPASSVALE LANE,1.385464091,103.8981412
2814,207,HOUGANG ST 21,2,1982,N,Y,N,N,N,N,0,207 HOUGANG ST 21,1.357598306,103.8863135
2818,207,PUNGGOL PL,4,2012,N,N,N,N,Y,N,0,207 PUNGGOL PL,1.400735749,103.9008958
2823,207A,ANG MO KIO AVE 6,1,2004,N,N,N,N,N,Y,0,207A ANG MO KIO AVE 6,1.366041061,103.8422287
2824,207A,BISHAN ST 23,5,1989,N,N,N,N,Y,N,0,207A BISHAN ST 23,1.355176526,103.8483025
2825,207A,BOON LAY PL,1,2003,N,N,N,N,N,Y,0,207A BOON LAY PL,1.347048755,103.7136556
2827,207A,PASIR RIS ST 21,1,1993,N,N,N,N,N,Y,0,207A PASIR RIS ST 21,1.366770712,103.9622667
2840,208,CLEMENTI AVE 6,6,2016,N,N,N,N,Y,N,0,208 CLEMENTI AVE 6,1.322395808,103.7621201
2841,208,COMPASSVALE LANE,5,2003,N,N,N,Y,Y,N,0,208 COMPASSVALE LANE,1.384028641,103.8981045
2842,208,HOUGANG ST 21,4,1983,N,Y,N,N,N,N,0,208 HOUGANG ST 21,1.3586968,103.8866361
2847,208,PUNGGOL PL,1,2013,N,N,N,N,N,Y,0,208 PUNGGOL PL,1.4011716,103.9009022
2852,208A,BOON LAY PL,5,2001,N,N,N,N,Y,N,0,208A BOON LAY PL,1.346574753,103.7144271
2853,208A,CLEMENTI AVE 6,38,2016,Y,N,N,N,N,N,139,208A CLEMENTI AVE 6,1.322002405,103.7624483
2855,208A,NEW UPP CHANGI RD,8,2014,N,N,N,N,Y,N,0,208A NEW UPP CHANGI RD,1.325191304,103.9308668
2857,208A,TAMPINES AVE 2,11,2011,Y,N,N,N,N,N,150,208A TAMPINES AVE 2,1.351692607,103.9536915
2858,208B,CLEMENTI AVE 6,38,2016,Y,N,N,N,N,N,139,208B CLEMENTI AVE 6,1.322621379,103.7624494
2860,208B,NEW UPP CHANGI RD,1,2014,N,Y,Y,N,N,N,0,208B NEW UPP CHANGI RD,1.32478237,103.9305703
2862,208C,CLEMENTI AVE 6,1,2017,N,Y,N,N,N,N,0,208C CLEMENTI AVE 6,1.321930512,103.7622044
2863,208C,NEW UPP CHANGI RD,1,2016,N,N,N,N,N,Y,0,208C NEW UPP CHANGI RD,1.325291033,103.930353
2865,208D,CLEMENTI AVE 6,1,2017,N,N,N,N,N,Y,0,208D CLEMENTI AVE 6,1.322810689,103.7621684
2866,208D,NEW UPP CHANGI RD,1,2016,N,Y,N,N,N,N,0,208D NEW UPP CHANGI RD,1.325472122,103.9301378
2872,209,COMPASSVALE LANE,1,2010,N,N,N,N,N,Y,0,209 COMPASSVALE LANE,1.383927109,103.8984398
2873,209,HOUGANG ST 21,1,2010,N,N,Y,N,N,N,0,209 HOUGANG ST 21,1.359083841,103.8860554
2875,209,NEW UPP CHANGI RD,4,1979,N,Y,N,N,N,N,0,209 NEW UPP CHANGI RD,1.324645447,103.9311115
2878,209,PUNGGOL PL,1,2013,N,N,N,N,N,Y,0,209 PUNGGOL PL,1.39897654,103.9009366
2883,209A,BOON LAY PL,1,2003,N,N,N,N,N,Y,0,209A BOON LAY PL,1.346056473,103.7153893
2900,21,JLN TENTERAM,10,1962,Y,N,N,N,N,N,320,21 JLN TENTERAM,1.326157145,103.8601308
2903,21,LOR 7 TOA PAYOH,2,1969,N,Y,N,N,N,N,0,21 LOR 7 TOA PAYOH,1.335448182,103.8574959
2904,21,MARSILING LANE,1,2009,N,N,Y,N,N,N,0,21 MARSILING LANE,1.443831652,103.7772104
2905,21,OLD AIRPORT RD,3,1958,Y,Y,N,N,N,N,14,21 OLD AIRPORT RD,1.30742112,103.884541
2906,21,PASIR RIS HTS,1,1976,Y,N,N,N,N,N,1,21 PASIR RIS HTS,1.381063165,103.9435988
2911,21,TOH YI DR,13,2015,Y,N,N,Y,N,N,132,21 TOH YI DR,1.338131993,103.7719863
2912,21A,CHAI CHEE RD,5,2001,N,N,N,N,Y,N,0,21A CHAI CHEE RD,1.326473555,103.9222838
2913,21A,TELOK BLANGAH CRES,1,2003,N,N,N,N,N,Y,0,21A TELOK BLANGAH CRES,1.276745665,103.8213635
