,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,address,latitude,longitude
8048,511B,YISHUN ST 51,13,2016,Y,N,N,N,N,N,120,511B YISHUN ST 51,1.415600145,103.8424141
8049,511C,YISHUN ST 51,13,2016,Y,N,N,N,N,N,84,511C YISHUN ST 51,1.415303053,103.8425968
8052,512,BISHAN ST 13,3,1990,N,Y,N,Y,N,N,0,512 BISHAN ST 13,1.349622352,103.8498817
8059,512,WELLINGTON CIRCLE,14,2009,Y,N,N,N,N,N,130,512 WELLINGTON CIRCLE,1.453913725,103.820296
8062,512,YISHUN ST 51,7,2015,N,N,N,Y,Y,N,0,512 YISHUN ST 51,1.414818274,103.8412507
8063,512A,SERANGOON NTH AVE 4,5,1995,N,N,N,N,Y,N,0,512A SERANGOON NTH AVE 4,1.370960432,103.875106
8064,512A,TAMPINES CTRL 1,1,1987,N,Y,N,N,N,N,0,512A TAMPINES CTRL 1,1.35452512,103.9439479
8065,512A,YISHUN ST 51,13,2016,Y,N,N,N,N,N,110,512A YISHUN ST 51,1.414277157,103.8411206
8066,512B,YISHUN ST 51,13,2016,Y,N,N,Y,N,N,110,512B YISHUN ST 51,1.414707046,103.8421123
8067,512C,YISHUN ST 51,13,2016,Y,N,N,Y,N,N,120,512C YISHUN ST 51,1.414957759,103.842655
8070,513,BISHAN ST 13,2,1989,N,Y,N,N,N,N,0,513 BISHAN ST 13,1.349466339,103.8494673
8077,513,TAMPINES CTRL 1,1,1988,N,Y,N,N,N,N,0,513 TAMPINES CTRL 1,1.353918128,103.9443958
8081,513,YISHUN ST 51,6,2016,N,Y,N,N,Y,N,0,513 YISHUN ST 51,1.416004869,103.8442517
8082,513A,BEDOK NTH AVE 2,3,2007,N,N,N,N,Y,N,0,513A BEDOK NTH AVE 2,1.332326133,103.9293449
8083,513A,CHOA CHU KANG ST 51,5,1993,N,N,N,N,Y,N,0,513A CHOA CHU KANG ST 51,1.390320643,103.742373
8084,513A,JELAPANG RD,1,1997,N,N,N,N,Y,N,0,513A JELAPANG RD,1.387966622,103.7674378
