,address,town,blk_no,street,max_floor_lvl,latitude,longitude
810,104 CLEMENTI ST 14,CLEMENTI,104,CLEMENTI ST 14,4.0,1.32294575,103.7692174
811,104 GANGSA RD,BUKIT PANJANG,104,GANGSA RD,10.0,1.3788102999999998,103.76796660000001
818,104 HENDERSON CRES,BUKIT MERAH,104,HENDERSON CRES,12.0,1.2753484,103.8147842
822,104 HOUGANG AVE 1,HOUGANG,104,HOUGANG AVE 1,4.0,1.35481055,103.8903435
823,104 JLN DUSUN,KALLANG/WHAMPOA,104,JLN DUSUN,4.0,1.3283595,103.8441497
825,104 JLN RAJAH,KALLANG/WHAMPOA,104,JLN RAJAH,25.0,1.327859,103.8533867
832,104 JURONG EAST ST 13,JURONG EAST,104,JURONG EAST ST 13,4.0,1.336595,103.7376588
834,104 LENGKONG TIGA,BEDOK,104,LENGKONG TIGA,9.0,1.3257831,103.90975
837,104 PASIR RIS ST 12,PASIR RIS,104,PASIR RIS ST 12,11.0,1.36789275,103.9588614
844,104 POTONG PASIR AVE 1,TOA PAYOH,104,POTONG PASIR AVE 1,16.0,1.3343561,103.8692734
854,104 RIVERVALE WALK,SENGKANG,104,RIVERVALE WALK,17.0,1.3827,103.9007372
863,104 SERANGOON NTH AVE 1,SERANGOON,104,SERANGOON NTH AVE 1,4.0,1.37061535,103.8711066
866,104 SPOTTISWOODE PK RD,BUKIT MERAH,104,SPOTTISWOODE PK RD,25.0,1.2744804,103.8348949
869,104 TAMPINES ST 11,TAMPINES,104,TAMPINES ST 11,11.0,1.3471928999999998,103.9466772
877,104 TECK WHYE LANE,CHOA CHU KANG,104,TECK WHYE LANE,9.0,1.37717775,103.7526598
882,104 TOWNER RD,KALLANG/WHAMPOA,104,TOWNER RD,11.0,1.3198325,103.8608629
889,104 WHAMPOA DR,KALLANG/WHAMPOA,104,WHAMPOA DR,19.0,1.32068995,103.85344930000001
898,104 WOODLANDS ST 13,WOODLANDS,104,WOODLANDS ST 13,13.0,1.43644535,103.7816038
903,104A ANG MO KIO ST 11,ANG MO KIO,104A,ANG MO KIO ST 11,12.0,1.3715979,103.8391821
907,104A DEPOT RD,BUKIT MERAH,104A,DEPOT RD,25.0,1.28041685,103.8125301
915,104A EDGEFIELD PLAINS,PUNGGOL,104A,EDGEFIELD PLAINS,17.0,1.3970029,103.9049986
924,104B ANG MO KIO ST 11,ANG MO KIO,104B,ANG MO KIO ST 11,12.0,1.37146775,103.8384615
929,104B DEPOT RD,BUKIT MERAH,104B,DEPOT RD,20.0,1.2805171,103.8121681
936,104B EDGEFIELD PLAINS,PUNGGOL,104B,EDGEFIELD PLAINS,17.0,1.39663485,103.9054535
947,105 ALJUNIED CRES,GEYLANG,105,ALJUNIED CRES,12.0,1.31947695,103.8827697
952,105 ANG MO KIO AVE 4,ANG MO KIO,105,ANG MO KIO AVE 4,10.0,1.3723345,103.8376035
956,105 BEDOK NTH AVE 4,BEDOK,105,BEDOK NTH AVE 4,14.0,1.3337089,103.9365607
965,105 BEDOK RESERVOIR RD,BEDOK,105,BEDOK RESERVOIR RD,12.0,1.32922715,103.909013
973,105 BISHAN ST 12,BISHAN,105,BISHAN ST 12,9.0,1.3458173,103.8475482
979,105 BT BATOK CTRL,BUKIT BATOK,105,BT BATOK CTRL,10.0,1.3485949,103.7471578
983,105 BT PURMEI RD,BUKIT MERAH,105,BT PURMEI RD,13.0,1.2725678,103.8248421
992,105 CLEMENTI ST 12,CLEMENTI,105,CLEMENTI ST 12,4.0,1.3225576,103.77009319999999
994,105 GANGSA RD,BUKIT PANJANG,105,GANGSA RD,4.0,1.3783586,103.76763539999999
998,105 HENDERSON CRES,BUKIT MERAH,105,HENDERSON CRES,24.0,1.2900057,103.8229408
1004,105 JLN RAJAH,KALLANG/WHAMPOA,105,JLN RAJAH,9.0,1.328227,103.8538411
1007,105 JURONG EAST ST 13,JURONG EAST,105,JURONG EAST ST 13,12.0,1.3373853,103.7385308
1011,105 LENGKONG TIGA,BEDOK,105,LENGKONG TIGA,4.0,1.3256357,103.9101489
1012,105 PASIR RIS ST 12,PASIR RIS,105,PASIR RIS ST 12,11.0,1.3684348999999998,103.95760560000001
1018,105 POTONG PASIR AVE 1,TOA PAYOH,105,POTONG PASIR AVE 1,16.0,1.3344465,103.8688623
1027,105 RIVERVALE WALK,SENGKANG,105,RIVERVALE WALK,17.0,1.3822415,103.90059379999998
1034,105 SERANGOON NTH AVE 1,SERANGOON,105,SERANGOON NTH AVE 1,13.0,1.3702561,103.87023300000001
1039,105 SIMEI ST 1,TAMPINES,105,SIMEI ST 1,4.0,1.3411286,103.95056640000001
1040,105 TAMPINES ST 11,TAMPINES,105,TAMPINES ST 11,11.0,1.3479955,103.9471776
1047,105 TECK WHYE LANE,CHOA CHU KANG,105,TECK WHYE LANE,12.0,1.3776095,103.752998
1053,105 TOWNER RD,KALLANG/WHAMPOA,105,TOWNER RD,25.0,1.3207375,103.8612673
1062,105 WOODLANDS ST 13,WOODLANDS,105,WOODLANDS ST 13,13.0,1.4368364,103.7815852
1067,105A EDGEFIELD PLAINS,PUNGGOL,105A,EDGEFIELD PLAINS,17.0,1.3969873,103.9058628
1073,105B EDGEFIELD PLAINS,PUNGGOL,105B,EDGEFIELD PLAINS,17.0,1.3973125,103.9060901
1082,105C EDGEFIELD PLAINS,PUNGGOL,105C,EDGEFIELD PLAINS,17.0,1.3976889,103.9055907
1092,105D EDGEFIELD PLAINS,PUNGGOL,105D,EDGEFIELD PLAINS,17.0,1.3973066,103.905271
1102,106 ALJUNIED CRES,GEYLANG,106,ALJUNIED CRES,12.0,1.3190605,103.8829292
1108,106 ANG MO KIO AVE 4,ANG MO KIO,106,ANG MO KIO AVE 4,11.0,1.3719477,103.83744590000002
1116,106 BEDOK RESERVOIR RD,BEDOK,106,BEDOK RESERVOIR RD,12.0,1.3295301,103.9093568
1120,106 BISHAN ST 12,BISHAN,106,BISHAN ST 12,13.0,1.3460647,103.8478439
1129,106 BT BATOK CTRL,BUKIT BATOK,106,BT BATOK CTRL,8.0,1.3481564,103.7469767
1132,106 BT PURMEI RD,BUKIT MERAH,106,BT PURMEI RD,13.0,1.2730751,103.8256575
1139,106 GANGSA RD,BUKIT PANJANG,106,GANGSA RD,10.0,1.3779974999999998,103.76734929999999
1147,106 HENDERSON CRES,BUKIT MERAH,106,HENDERSON CRES,14.0,1.2889378,103.8223959
1152,106 HOUGANG AVE 1,HOUGANG,106,HOUGANG AVE 1,4.0,1.3537151000000003,103.8906841
1154,106 JLN DUSUN,KALLANG/WHAMPOA,106,JLN DUSUN,9.0,1.3285854,103.8447894
1157,106 JLN RAJAH,KALLANG/WHAMPOA,106,JLN RAJAH,10.0,1.32835865,103.8549948
1160,106 JURONG EAST ST 13,JURONG EAST,106,JURONG EAST ST 13,25.0,1.3372469,103.7376952
1164,106 LENGKONG TIGA,BEDOK,106,LENGKONG TIGA,9.0,1.3252333,103.909864
1167,106 PASIR RIS ST 12,PASIR RIS,106,PASIR RIS ST 12,13.0,1.3680602,103.957605
1174,106 POTONG PASIR AVE 1,TOA PAYOH,106,POTONG PASIR AVE 1,4.0,1.3340806,103.86820459999998
1176,106 RIVERVALE WALK,SENGKANG,106,RIVERVALE WALK,17.0,1.3825767,103.90005700000002
1184,106 SERANGOON NTH AVE 1,SERANGOON,106,SERANGOON NTH AVE 1,12.0,1.3702532,103.8710094
1189,106 SIMEI ST 1,TAMPINES,106,SIMEI ST 1,11.0,1.34183965,103.9507826
1197,106 SPOTTISWOODE PK RD,BUKIT MERAH,106,SPOTTISWOODE PK RD,25.0,1.2736078,103.8340797
1203,106 TAMPINES ST 11,TAMPINES,106,TAMPINES ST 11,11.0,1.34755145,103.9477306
1208,106 TECK WHYE LANE,CHOA CHU KANG,106,TECK WHYE LANE,12.0,1.37792195,103.7528853
1216,106 TOWNER RD,KALLANG/WHAMPOA,106,TOWNER RD,11.0,1.3210915,103.8609246
1222,106 WOODLANDS ST 13,WOODLANDS,106,WOODLANDS ST 13,4.0,1.4367687,103.7823135
1224,106 YISHUN RING RD,YISHUN,106,YISHUN RING RD,4.0,1.4315956,103.8293707
1226,106A DEPOT RD,BUKIT MERAH,106A,DEPOT RD,25.0,1.28057455,103.811187
1233,106A PUNGGOL FIELD,PUNGGOL,106A,PUNGGOL FIELD,17.0,1.3967208,103.908594
1241,106B DEPOT RD,BUKIT MERAH,106B,DEPOT RD,20.0,1.2806748,103.81082499999998
1249,106B PUNGGOL FIELD,PUNGGOL,106B,PUNGGOL FIELD,17.0,1.39709025,103.9081239
1258,106C PUNGGOL FIELD,PUNGGOL,106C,PUNGGOL FIELD,17.0,1.397393,103.9076984
1264,106D PUNGGOL FIELD,PUNGGOL,106D,PUNGGOL FIELD,17.0,1.39763635,103.9071993
1269,107 ALJUNIED CRES,GEYLANG,107,ALJUNIED CRES,12.0,1.31895345,103.88433049999999
1273,107 ANG MO KIO AVE 4,ANG MO KIO,107,ANG MO KIO AVE 4,11.0,1.3713853,103.8373064
1280,107 BEDOK NTH RD,BEDOK,107,BEDOK NTH RD,12.0,1.3324160999999999,103.93637839999998
1287,107 BEDOK RESERVOIR RD,BEDOK,107,BEDOK RESERVOIR RD,13.0,1.32987255,103.9092359
1296,107 BISHAN ST 12,BISHAN,107,BISHAN ST 12,13.0,1.3464213,103.8479116
1304,107 BT BATOK WEST AVE 6,BUKIT BATOK,107,BT BATOK WEST AVE 6,10.0,1.347809,103.7465685
1307,107 BT PURMEI RD,BUKIT MERAH,107,BT PURMEI RD,13.0,1.2731925,103.8246461
1316,107 GANGSA RD,BUKIT PANJANG,107,GANGSA RD,13.0,1.37804195,103.7667535
1323,107 JLN BT MERAH,BUKIT MERAH,107,JLN BT MERAH,12.0,1.2798711,103.8247968
1327,107 JLN RAJAH,KALLANG/WHAMPOA,107,JLN RAJAH,13.0,1.32786285,103.8550838
1335,107 JURONG EAST ST 13,JURONG EAST,107,JURONG EAST ST 13,12.0,1.33780355,103.7381699
1338,107 LENGKONG TIGA,BEDOK,107,LENGKONG TIGA,4.0,1.3249503,103.9102008
1339,107 LOR 1 TOA PAYOH,TOA PAYOH,107,LOR 1 TOA PAYOH,10.0,1.3412499,103.846986
1343,107 PASIR RIS ST 12,PASIR RIS,107,PASIR RIS ST 12,13.0,1.36747735,103.957509
1350,107 POTONG PASIR AVE 1,TOA PAYOH,107,POTONG PASIR AVE 1,14.0,1.3345569,103.8684019
1359,107 RIVERVALE WALK,SENGKANG,107,RIVERVALE WALK,17.0,1.38293865,103.9003659
1366,107 SERANGOON NTH AVE 1,SERANGOON,107,SERANGOON NTH AVE 1,13.0,1.3699100499999999,103.8702301
1371,107 SIMEI ST 1,TAMPINES,107,SIMEI ST 1,11.0,1.3420121,103.95032730000001
1378,107 TAMPINES ST 11,TAMPINES,107,TAMPINES ST 11,10.0,1.3483471499999997,103.94813700000002
1387,107 TECK WHYE LANE,CHOA CHU KANG,107,TECK WHYE LANE,13.0,1.37795495,103.7536579
1391,107 TOWNER RD,KALLANG/WHAMPOA,107,TOWNER RD,25.0,1.3197115000000001,103.8599878
1401,107 WOODLANDS ST 13,WOODLANDS,107,WOODLANDS ST 13,4.0,1.4373063,103.782296
1402,107 YISHUN RING RD,YISHUN,107,YISHUN RING RD,11.0,1.4315956,103.8293707
1411,107A EDGEFIELD PLAINS,PUNGGOL,107A,EDGEFIELD PLAINS,17.0,1.3972565,103.9068956
1417,107B EDGEFIELD PLAINS,PUNGGOL,107B,EDGEFIELD PLAINS,17.0,1.39695155,103.9073298
1425,107C EDGEFIELD PLAINS,PUNGGOL,107C,EDGEFIELD PLAINS,17.0,1.396912,103.907215
1433,107D EDGEFIELD PLAINS,PUNGGOL,107D,EDGEFIELD PLAINS,17.0,1.3963582,103.90799069999998
1439,108 ALJUNIED CRES,GEYLANG,108,ALJUNIED CRES,12.0,1.3191447,103.8853252
1445,108 ANG MO KIO AVE 4,ANG MO KIO,108,ANG MO KIO AVE 4,12.0,1.3709193,103.8382062
1453,108 BEDOK NTH RD,BEDOK,108,BEDOK NTH RD,12.0,1.3327098,103.9361971
1460,108 BEDOK RESERVOIR RD,BEDOK,108,BEDOK RESERVOIR RD,12.0,1.33022785,103.9095374
1468,108 BISHAN ST 12,BISHAN,108,BISHAN ST 12,4.0,1.346732,103.8473358
1472,108 BT BATOK WEST AVE 6,BUKIT BATOK,108,BT BATOK WEST AVE 6,8.0,1.3474309,103.746425
1475,108 BT PURMEI RD,BUKIT MERAH,108,BT PURMEI RD,12.0,1.2734415,103.8254768
