,address,town,blk_no,street,max_floor_lvl,latitude,longitude
43166,602 SENJA RD,BUKIT PANJANG,602,SENJA RD,16.0,1.381443,103.76273480000002
43172,602 WOODLANDS DR 42,WOODLANDS,602,WOODLANDS DR 42,12.0,1.4381978,103.796327
43180,602 YISHUN ST 61,YISHUN,602,YISHUN ST 61,9.0,1.4224399,103.83663219999998
43187,602A PUNGGOL CTRL,PUNGGOL,602A,PUNGGOL CTRL,16.0,1.40347825,103.9070073
43198,602B PUNGGOL CTRL,PUNGGOL,602B,PUNGGOL CTRL,16.0,1.4030367,103.9068517
43209,602C PUNGGOL CTRL,PUNGGOL,602C,PUNGGOL CTRL,16.0,1.4028291,103.9071702
43220,603 ANG MO KIO AVE 5,ANG MO KIO,603,ANG MO KIO AVE 5,12.0,1.3801792,103.8357516
43227,603 BEDOK RESERVOIR RD,BEDOK,603,BEDOK RESERVOIR RD,11.0,1.3299331500000002,103.91232220000002
43232,603 CHOA CHU KANG ST 62,CHOA CHU KANG,603,CHOA CHU KANG ST 62,12.0,1.39787065,103.7445394
43235,603 CLEMENTI WEST ST 1,CLEMENTI,603,CLEMENTI WEST ST 1,4.0,1.30490845,103.7673924
43238,603 ELIAS RD,PASIR RIS,603,ELIAS RD,13.0,1.3768389,103.94372119999998
43242,603 HOUGANG AVE 4,HOUGANG,603,HOUGANG AVE 4,10.0,1.3714651,103.8862848
43250,603 JURONG WEST ST 62,JURONG WEST,603,JURONG WEST ST 62,15.0,1.33884895,103.7003161
43256,603 SENJA RD,BUKIT PANJANG,603,SENJA RD,30.0,1.3815111,103.7621012
43262,603 WOODLANDS DR 42,WOODLANDS,603,WOODLANDS DR 42,12.0,1.4378552,103.7966998
43270,603 YISHUN ST 61,YISHUN,603,YISHUN ST 61,12.0,1.4220732,103.8357328
43278,603A PUNGGOL RD,PUNGGOL,603A,PUNGGOL RD,16.0,1.40355345,103.9084164
43284,603B PUNGGOL RD,PUNGGOL,603B,PUNGGOL RD,16.0,1.4032088,103.90822230000002
43290,603C PUNGGOL RD,PUNGGOL,603C,PUNGGOL RD,14.0,1.4034122,103.9079648
43299,604 ANG MO KIO AVE 5,ANG MO KIO,604,ANG MO KIO AVE 5,12.0,1.37987235,103.83597480000002
43307,604 BEDOK RESERVOIR RD,BEDOK,604,BEDOK RESERVOIR RD,11.0,1.33070825,103.91300579999998
43312,604 CHOA CHU KANG ST 62,CHOA CHU KANG,604,CHOA CHU KANG ST 62,11.0,1.39749555,103.7451751
43316,604 CLEMENTI WEST ST 1,CLEMENTI,604,CLEMENTI WEST ST 1,22.0,1.30540925,103.7675801
43322,604 ELIAS RD,PASIR RIS,604,ELIAS RD,17.0,1.37628935,103.9432515
43327,604 HOUGANG AVE 4,HOUGANG,604,HOUGANG AVE 4,4.0,1.3710531,103.8859525
43329,604 JURONG WEST ST 62,JURONG WEST,604,JURONG WEST ST 62,15.0,1.33858695,103.7001025
43340,604 SENJA RD,BUKIT PANJANG,604,SENJA RD,28.0,1.3810367,103.762431
43351,604 WOODLANDS DR 42,WOODLANDS,604,WOODLANDS DR 42,12.0,1.4371541,103.7963726
43355,604 YISHUN ST 61,YISHUN,604,YISHUN ST 61,12.0,1.4217119,103.8354391
43365,604A PUNGGOL RD,PUNGGOL,604A,PUNGGOL RD,16.0,1.4042916,103.9074218
43371,604B PUNGGOL RD,PUNGGOL,604B,PUNGGOL RD,16.0,1.40390405,103.90726530000002
43377,604C PUNGGOL RD,PUNGGOL,604C,PUNGGOL RD,14.0,1.40369885,103.9075817
43386,605 ANG MO KIO AVE 5,ANG MO KIO,605,ANG MO KIO AVE 5,12.0,1.3796794,103.83649420000002
43393,605 BEDOK RESERVOIR RD,BEDOK,605,BEDOK RESERVOIR RD,11.0,1.33034395,103.9137519
43399,605 CHOA CHU KANG ST 62,CHOA CHU KANG,605,CHOA CHU KANG ST 62,12.0,1.398194,103.7434964
43401,605 CLEMENTI WEST ST 1,CLEMENTI,605,CLEMENTI WEST ST 1,22.0,1.30535695,103.7681128
43407,605 ELIAS RD,PASIR RIS,605,ELIAS RD,13.0,1.37699505,103.9429117
43412,605 HOUGANG AVE 4,HOUGANG,605,HOUGANG AVE 4,12.0,1.3709451,103.8865219
43419,605 JURONG WEST ST 62,JURONG WEST,605,JURONG WEST ST 62,15.0,1.33850645,103.6995017
43430,605 SENJA RD,BUKIT PANJANG,605,SENJA RD,30.0,1.3808095,103.7618275
43441,605 WOODLANDS DR 42,WOODLANDS,605,WOODLANDS DR 42,12.0,1.4372526000000003,103.7971397
43445,605 YISHUN ST 61,YISHUN,605,YISHUN ST 61,13.0,1.4217761500000001,103.83611
43450,606 ANG MO KIO AVE 5,ANG MO KIO,606,ANG MO KIO AVE 5,12.0,1.37934235,103.8367357
43455,606 BEDOK RESERVOIR RD,BEDOK,606,BEDOK RESERVOIR RD,11.0,1.3312877,103.91380600000001
43462,606 CHOA CHU KANG ST 62,CHOA CHU KANG,606,CHOA CHU KANG ST 62,12.0,1.3984956,103.7438726
43466,606 CLEMENTI WEST ST 1,CLEMENTI,606,CLEMENTI WEST ST 1,22.0,1.3048381,103.7680565
43470,606 ELIAS RD,PASIR RIS,606,ELIAS RD,17.0,1.3766968,103.9426985
43475,606 HOUGANG AVE 4,HOUGANG,606,HOUGANG AVE 4,13.0,1.3707347,103.8859893
43482,606 JURONG WEST ST 65,JURONG WEST,606,JURONG WEST ST 65,15.0,1.33802325,103.6994293
43490,606 SENJA RD,BUKIT PANJANG,606,SENJA RD,30.0,1.38134825,103.7617509
43498,606 WOODLANDS RING RD,WOODLANDS,606,WOODLANDS RING RD,12.0,1.4366639999999997,103.7969137
43506,606 YISHUN ST 61,YISHUN,606,YISHUN ST 61,13.0,1.4213263,103.8363012
43513,607 ANG MO KIO AVE 4,ANG MO KIO,607,ANG MO KIO AVE 4,13.0,1.3804548,103.83890510000002
43521,607 BEDOK RESERVOIR RD,BEDOK,607,BEDOK RESERVOIR RD,12.0,1.3310534999999997,103.9127739
43525,607 CHOA CHU KANG ST 62,CHOA CHU KANG,607,CHOA CHU KANG ST 62,12.0,1.3988985,103.7442112
43532,607 CLEMENTI WEST ST 1,CLEMENTI,607,CLEMENTI WEST ST 1,12.0,1.30421425,103.76791369999998
43539,607 ELIAS RD,PASIR RIS,607,ELIAS RD,17.0,1.37621805,103.9423501
43545,607 HOUGANG AVE 4,HOUGANG,607,HOUGANG AVE 4,9.0,1.3702138,103.8861027
43550,607 JURONG WEST ST 65,JURONG WEST,607,JURONG WEST ST 65,15.0,1.3380401,103.6996221
43560,607 SENJA RD,BUKIT PANJANG,607,SENJA RD,22.0,1.38260575,103.76143080000001
43566,607 WOODLANDS RING RD,WOODLANDS,607,WOODLANDS RING RD,12.0,1.4365709,103.7963639
43574,607 YISHUN ST 61,YISHUN,607,YISHUN ST 61,12.0,1.4213306,103.8356017
43582,608 ANG MO KIO AVE 5,ANG MO KIO,608,ANG MO KIO AVE 5,12.0,1.37873095,103.8369493
43591,608 BEDOK RESERVOIR RD,BEDOK,608,BEDOK RESERVOIR RD,11.0,1.3318556,103.9131628
43598,608 CHOA CHU KANG ST 62,CHOA CHU KANG,608,CHOA CHU KANG ST 62,9.0,1.3986106,103.7449632
43603,608 CLEMENTI WEST ST 1,CLEMENTI,608,CLEMENTI WEST ST 1,12.0,1.3043312500000002,103.766606
43608,608 ELIAS RD,PASIR RIS,608,ELIAS RD,17.0,1.375868,103.9430373
43613,608 HOUGANG AVE 4,HOUGANG,608,HOUGANG AVE 4,4.0,1.3708862,103.8853986
43616,608 JURONG WEST ST 65,JURONG WEST,608,JURONG WEST ST 65,15.0,1.33804,103.7003224
43629,608 SENJA RD,BUKIT PANJANG,608,SENJA RD,21.0,1.3828831,103.761347
43635,608 WOODLANDS RING RD,WOODLANDS,608,WOODLANDS RING RD,12.0,1.4361485,103.7966462
43642,608 YISHUN ST 61,YISHUN,608,YISHUN ST 61,4.0,1.420915,103.8352584
43645,609 ANG MO KIO AVE 4,ANG MO KIO,609,ANG MO KIO AVE 4,11.0,1.3792559,103.8375901
43652,609 BEDOK RESERVOIR RD,BEDOK,609,BEDOK RESERVOIR RD,10.0,1.33166265,103.9122967
43660,609 BT PANJANG RING RD,BUKIT PANJANG,609,BT PANJANG RING RD,21.0,1.3830797,103.7615302
43672,609 CHOA CHU KANG ST 62,CHOA CHU KANG,609,CHOA CHU KANG ST 62,12.0,1.39917465,103.7449373
43682,609 CLEMENTI WEST ST 1,CLEMENTI,609,CLEMENTI WEST ST 1,14.0,1.30405605,103.7655342
43687,609 ELIAS RD,PASIR RIS,609,ELIAS RD,13.0,1.3755647,103.9428175
43691,609 HOUGANG AVE 8,HOUGANG,609,HOUGANG AVE 8,4.0,1.3701124,103.88550330000001
43692,609 JURONG WEST ST 65,JURONG WEST,609,JURONG WEST ST 65,15.0,1.3380286,103.7005154
43703,609 WOODLANDS RING RD,WOODLANDS,609,WOODLANDS RING RD,12.0,1.4359246,103.7961547
43711,609 YISHUN ST 61,YISHUN,609,YISHUN ST 61,12.0,1.4209385,103.83610939999998
43718,61 CHAI CHEE RD,BEDOK,61,CHAI CHEE RD,12.0,1.3251396,103.9206969
43721,61 CIRCUIT RD,GEYLANG,61,CIRCUIT RD,10.0,1.3257854000000004,103.8870915
43726,61 JLN TENTERAM,KALLANG/WHAMPOA,61,JLN TENTERAM,2.0,1.3279452,103.8575924
43727,61 LOR 5 TOA PAYOH,TOA PAYOH,61,LOR 5 TOA PAYOH,10.0,1.3364126,103.8521198
43731,61 MARINE DR,MARINE PARADE,61,MARINE DR,14.0,1.30309225,103.9087472
43736,61 NEW UPP CHANGI RD,BEDOK,61,NEW UPP CHANGI RD,25.0,1.32275645,103.9408525
43742,61 TELOK BLANGAH HTS,BUKIT MERAH,61,TELOK BLANGAH HTS,11.0,1.27569185,103.81209359999998
43748,610 ANG MO KIO AVE 4,ANG MO KIO,610,ANG MO KIO AVE 4,11.0,1.3797989000000004,103.8393959
43756,610 BEDOK RESERVOIR RD,BEDOK,610,BEDOK RESERVOIR RD,4.0,1.33084375,103.91218410000002
43759,610 CHOA CHU KANG ST 62,CHOA CHU KANG,610,CHOA CHU KANG ST 62,12.0,1.3993577,103.7437364
43766,610 CLEMENTI WEST ST 1,CLEMENTI,610,CLEMENTI WEST ST 1,12.0,1.3048227,103.769052
43774,610 ELIAS RD,PASIR RIS,610,ELIAS RD,18.0,1.375347,103.941991
43782,610 HOUGANG AVE 8,HOUGANG,610,HOUGANG AVE 8,19.0,1.3703146,103.8851486
43787,610 JURONG WEST ST 65,JURONG WEST,610,JURONG WEST ST 65,15.0,1.33817915,103.7010716
43793,610 SENJA RD,BUKIT PANJANG,610,SENJA RD,21.0,1.3834923,103.7609183
43799,610 WOODLANDS AVE 4,WOODLANDS,610,WOODLANDS AVE 4,12.0,1.435443,103.7961846
43806,610 YISHUN ST 61,YISHUN,610,YISHUN ST 61,12.0,1.4205504499999997,103.83611560000001
43813,611 ANG MO KIO AVE 5,ANG MO KIO,611,ANG MO KIO AVE 5,13.0,1.378306,103.837256
43821,611 BEDOK RESERVOIR RD,BEDOK,611,BEDOK RESERVOIR RD,13.0,1.33105705,103.9152423
43828,611 BT PANJANG RING RD,BUKIT PANJANG,611,BT PANJANG RING RD,21.0,1.3839502,103.7618152
43840,611 CHOA CHU KANG ST 62,CHOA CHU KANG,611,CHOA CHU KANG ST 62,12.0,1.3997733000000003,103.743829
43848,611 CLEMENTI WEST ST 1,CLEMENTI,611,CLEMENTI WEST ST 1,9.0,1.3039684,103.7691706
43854,611 ELIAS RD,PASIR RIS,611,ELIAS RD,13.0,1.3751284,103.9424269
43861,611 HOUGANG AVE 8,HOUGANG,611,HOUGANG AVE 8,12.0,1.3699755500000002,103.8847732
43867,611 JURONG WEST ST 65,JURONG WEST,611,JURONG WEST ST 65,15.0,1.3389389,103.7009574
43876,611 WOODLANDS RING RD,WOODLANDS,611,WOODLANDS RING RD,12.0,1.435529,103.7971505
43884,611 YISHUN ST 61,YISHUN,611,YISHUN ST 61,13.0,1.42016915,103.8359552
43892,612 ANG MO KIO AVE 4,ANG MO KIO,612,ANG MO KIO AVE 4,11.0,1.3789645,103.8397194
43896,612 BEDOK RESERVOIR RD,BEDOK,612,BEDOK RESERVOIR RD,11.0,1.33159555,103.9157715
43902,612 CHOA CHU KANG ST 62,CHOA CHU KANG,612,CHOA CHU KANG ST 62,12.0,1.4000448,103.7443265
43910,612 CLEMENTI WEST ST 1,CLEMENTI,612,CLEMENTI WEST ST 1,12.0,1.3035365,103.76883539999997
43918,612 ELIAS RD,PASIR RIS,612,ELIAS RD,18.0,1.3746766,103.9419401
43925,612 HOUGANG AVE 8,HOUGANG,612,HOUGANG AVE 8,4.0,1.3694234,103.8853047
43928,612 JURONG WEST ST 65,JURONG WEST,612,JURONG WEST ST 65,15.0,1.3393442999999998,103.7008856
43933,612 SENJA RD,BUKIT PANJANG,612,SENJA RD,21.0,1.3839327,103.7611469
43943,612 WOODLANDS AVE 4,WOODLANDS,612,WOODLANDS AVE 4,12.0,1.4350035,103.7970097
43950,612 YISHUN ST 61,YISHUN,612,YISHUN ST 61,12.0,1.4203783,103.835359
43960,612A PUNGGOL DR,PUNGGOL,612A,PUNGGOL DR,17.0,1.40425265,103.9091934
43966,612B PUNGGOL DR,PUNGGOL,612B,PUNGGOL DR,16.0,1.4049447,103.9080571
43972,612C PUNGGOL DR,PUNGGOL,612C,PUNGGOL DR,16.0,1.40516565,103.9078391
43978,612D PUNGGOL DR,PUNGGOL,612D,PUNGGOL DR,16.0,1.4047257,103.9076175
43984,613 ANG MO KIO AVE 4,ANG MO KIO,613,ANG MO KIO AVE 4,13.0,1.37854595,103.8394548
43988,613 BEDOK RESERVOIR RD,BEDOK,613,BEDOK RESERVOIR RD,11.0,1.33268095,103.91763740000002
43994,613 BT PANJANG RING RD,BUKIT PANJANG,613,BT PANJANG RING RD,21.0,1.3844543,103.7620419
44002,613 CHOA CHU KANG ST 62,CHOA CHU KANG,613,CHOA CHU KANG ST 62,12.0,1.4006039,103.7444519
44010,613 CLEMENTI WEST ST 1,CLEMENTI,613,CLEMENTI WEST ST 1,12.0,1.30336975,103.7675525
44016,613 ELIAS RD,PASIR RIS,613,ELIAS RD,18.0,1.3750654,103.9413996
44023,613 HOUGANG AVE 8,HOUGANG,613,HOUGANG AVE 8,12.0,1.36950425,103.8848292
44029,613 JURONG WEST ST 62,JURONG WEST,613,JURONG WEST ST 62,15.0,1.3398836,103.7006475
44042,613 WOODLANDS AVE 4,WOODLANDS,613,WOODLANDS AVE 4,12.0,1.4345137,103.7970285
44050,613 YISHUN ST 61,YISHUN,613,YISHUN ST 61,12.0,1.4199982,103.83523099999998
44057,613A BEDOK RESERVOIR RD,BEDOK,613A,BEDOK RESERVOIR RD,15.0,1.33268095,103.9176374
44060,613A PUNGGOL DR,PUNGGOL,613A,PUNGGOL DR,16.0,1.4044321,103.9079608
44066,613B BEDOK RESERVOIR RD,BEDOK,613B,BEDOK RESERVOIR RD,15.0,1.3328013,103.918223
44076,613B PUNGGOL DR,PUNGGOL,613B,PUNGGOL DR,16.0,1.4043208500000002,103.9083346
44084,613C PUNGGOL DR,PUNGGOL,613C,PUNGGOL DR,17.0,1.40409795,103.9085377
44094,613D PUNGGOL DR,PUNGGOL,613D,PUNGGOL DR,17.0,1.4038703000000001,103.908787
44100,614 ANG MO KIO AVE 4,ANG MO KIO,614,ANG MO KIO AVE 4,13.0,1.37804835,103.83939349999999
44104,614 BEDOK RESERVOIR RD,BEDOK,614,BEDOK RESERVOIR RD,9.0,1.3324455,103.9167483
44109,614 CHOA CHU KANG ST 62,CHOA CHU KANG,614,CHOA CHU KANG ST 62,12.0,1.4009752,103.7440798
44116,614 ELIAS RD,PASIR RIS,614,ELIAS RD,18.0,1.3758397,103.9414646
44129,614 HOUGANG AVE 8,HOUGANG,614,HOUGANG AVE 8,12.0,1.3691963,103.8847482
44135,614 SENJA RD,BUKIT PANJANG,614,SENJA RD,19.0,1.3844696,103.760866
44143,614 WOODLANDS AVE 4,WOODLANDS,614,WOODLANDS AVE 4,12.0,1.4348532,103.795925
44151,614 YISHUN ST 61,YISHUN,614,YISHUN ST 61,13.0,1.41974085,103.8361782
44159,614A EDGEFIELD PLAINS,PUNGGOL,614A,EDGEFIELD PLAINS,17.0,1.4035867,103.9093073
44165,614B EDGEFIELD PLAINS,PUNGGOL,614B,EDGEFIELD PLAINS,17.0,1.40305615,103.91008930000001
44171,615 ANG MO KIO AVE 4,ANG MO KIO,615,ANG MO KIO AVE 4,13.0,1.3775341,103.8393278
44176,615 BEDOK RESERVOIR RD,BEDOK,615,BEDOK RESERVOIR RD,11.0,1.33235885,103.9159924
44181,615 BT PANJANG RING RD,BUKIT PANJANG,615,BT PANJANG RING RD,21.0,1.3850709,103.7623141
44193,615 CHOA CHU KANG ST 62,CHOA CHU KANG,615,CHOA CHU KANG ST 62,9.0,1.4008204,103.7449977
44199,615 ELIAS RD,PASIR RIS,615,ELIAS RD,18.0,1.3764591,103.9416792
44207,615 HOUGANG AVE 8,HOUGANG,615,HOUGANG AVE 8,13.0,1.3685776,103.8850097
44213,615 WOODLANDS AVE 4,WOODLANDS,615,WOODLANDS AVE 4,12.0,1.4340974,103.796761
44221,615 YISHUN RING RD,YISHUN,615,YISHUN RING RD,11.0,1.4195786000000001,103.8354817
44228,615A EDGEFIELD PLAINS,PUNGGOL,615A,EDGEFIELD PLAINS,17.0,1.4040371,103.9095682
44234,615B EDGEFIELD PLAINS,PUNGGOL,615B,EDGEFIELD PLAINS,17.0,1.4037781,103.9098814
44240,615C EDGEFIELD PLAINS,PUNGGOL,615C,EDGEFIELD PLAINS,17.0,1.4035187,103.9102614
44246,616 ANG MO KIO AVE 4,ANG MO KIO,616,ANG MO KIO AVE 4,11.0,1.3775341,103.83932780000002
44249,616 BEDOK RESERVOIR RD,BEDOK,616,BEDOK RESERVOIR RD,11.0,1.33151925,103.9147562
44255,616 CHOA CHU KANG ST 62,CHOA CHU KANG,616,CHOA CHU KANG ST 62,9.0,1.3998079500000002,103.74495640000002
44259,616 HOUGANG AVE 8,HOUGANG,616,HOUGANG AVE 8,13.0,1.3689235,103.8835291
44269,616 SENJA RD,BUKIT PANJANG,616,SENJA RD,18.0,1.3849463,103.7610376
44275,616 WOODLANDS AVE 4,WOODLANDS,616,WOODLANDS AVE 4,12.0,1.43425025,103.7960208
44282,616 YISHUN RING RD,YISHUN,616,YISHUN RING RD,4.0,1.4196704,103.8348635
44283,617 ANG MO KIO AVE 4,ANG MO KIO,617,ANG MO KIO AVE 4,13.0,1.37757215,103.8378986
44291,617 BEDOK RESERVOIR RD,BEDOK,617,BEDOK RESERVOIR RD,9.0,1.33308425,103.9164981
44294,617 BT PANJANG RING RD,BUKIT PANJANG,617,BT PANJANG RING RD,21.0,1.385652,103.7627227
44298,617 CHOA CHU KANG NTH 7,CHOA CHU KANG,617,CHOA CHU KANG NTH 7,12.0,1.4004556,103.7463375
44305,617 HOUGANG AVE 8,HOUGANG,617,HOUGANG AVE 8,12.0,1.3695489,103.8836659
44314,617 JURONG WEST ST 65,JURONG WEST,617,JURONG WEST ST 65,16.0,1.34093925,103.7006226
44320,617 WOODLANDS AVE 4,WOODLANDS,617,WOODLANDS AVE 4,12.0,1.4339285,103.7956592
44324,617 YISHUN RING RD,YISHUN,617,YISHUN RING RD,11.0,1.4192776,103.835292
44331,617A PUNGGOL DR,PUNGGOL,617A,PUNGGOL DR,17.0,1.4023951,103.9118769
44337,617B PUNGGOL DR,PUNGGOL,617B,PUNGGOL DR,17.0,1.40213245,103.9122089
44347,617C PUNGGOL DR,PUNGGOL,617C,PUNGGOL DR,17.0,1.40192215,103.9125165
44356,617D PUNGGOL DR,PUNGGOL,617D,PUNGGOL DR,17.0,1.40169935,103.9128334
44361,618 ANG MO KIO AVE 4,ANG MO KIO,618,ANG MO KIO AVE 4,16.0,1.37799985,103.83830919999998
44366,618 BEDOK RESERVOIR RD,BEDOK,618,BEDOK RESERVOIR RD,9.0,1.3330532,103.91703
44369,618 CHOA CHU KANG NTH 7,CHOA CHU KANG,618,CHOA CHU KANG NTH 7,12.0,1.400351,103.7470405
44376,618 HOUGANG AVE 8,HOUGANG,618,HOUGANG AVE 8,4.0,1.3696207,103.8841541
44379,618 JURONG WEST ST 65,JURONG WEST,618,JURONG WEST ST 65,16.0,1.3415501,103.7004347
44387,618 SENJA RD,BUKIT PANJANG,618,SENJA RD,18.0,1.3853954,103.761326
44393,618 WOODLANDS AVE 4,WOODLANDS,618,WOODLANDS AVE 4,12.0,1.4336121000000002,103.7966624
44397,618 YISHUN RING RD,YISHUN,618,YISHUN RING RD,13.0,1.4187688,103.835642
44409,618A PUNGGOL DR,PUNGGOL,618A,PUNGGOL DR,17.0,1.40120035,103.9124992
44414,618B PUNGGOL DR,PUNGGOL,618B,PUNGGOL DR,17.0,1.4014732499999998,103.9120932
44424,618C PUNGGOL DR,PUNGGOL,618C,PUNGGOL DR,17.0,1.40165785,103.9118405
44432,618D PUNGGOL DR,PUNGGOL,618D,PUNGGOL DR,17.0,1.4019194,103.9114994
44438,619 ANG MO KIO AVE 4,ANG MO KIO,619,ANG MO KIO AVE 4,11.0,1.37852275,103.8384895
44445,619 BEDOK RESERVOIR RD,BEDOK,619,BEDOK RESERVOIR RD,11.0,1.3334453,103.9176775
44451,619 BT PANJANG RING RD,BUKIT PANJANG,619,BT PANJANG RING RD,20.0,1.3858547,103.7623819
44460,619 CHOA CHU KANG NTH 7,CHOA CHU KANG,619,CHOA CHU KANG NTH 7,12.0,1.40025705,103.7475634
44464,619 HOUGANG AVE 8,HOUGANG,619,HOUGANG AVE 8,12.0,1.3698505999999997,103.8837204
44468,619 JURONG WEST ST 65,JURONG WEST,619,JURONG WEST ST 65,16.0,1.34150755,103.699821
44478,619 WOODLANDS DR 52,WOODLANDS,619,WOODLANDS DR 52,12.0,1.4335148,103.798287
44482,619 YISHUN RING RD,YISHUN,619,YISHUN RING RD,12.0,1.4191757,103.8348427
44489,619A PUNGGOL DR,PUNGGOL,619A,PUNGGOL DR,17.0,1.4026646,103.9114931
44495,619B PUNGGOL DR,PUNGGOL,619B,PUNGGOL DR,17.0,1.4029543999999998,103.9110835
44501,619C PUNGGOL DR,PUNGGOL,619C,PUNGGOL DR,17.0,1.4024642,103.9107271
44507,619D PUNGGOL DR,PUNGGOL,619D,PUNGGOL DR,17.0,1.402195,103.9111103
44513,61A STRATHMORE AVE,QUEENSTOWN,61A,STRATHMORE AVE,27.0,1.2938599,103.8116368
44521,61B STRATHMORE AVE,QUEENSTOWN,61B,STRATHMORE AVE,30.0,1.29372165,103.8121026
44531,61C STRATHMORE AVE,QUEENSTOWN,61C,STRATHMORE AVE,30.0,1.2942066,103.8121812
44542,62 C'WEALTH DR,QUEENSTOWN,62,C'WEALTH DR,10.0,1.2986013,103.7970716
44543,62 CHAI CHEE RD,BEDOK,62,CHAI CHEE RD,12.0,1.3255402,103.9210507
44546,62 CIRCUIT RD,GEYLANG,62,CIRCUIT RD,10.0,1.3262351,103.8871143
44550,62 DAKOTA CRES,GEYLANG,62,DAKOTA CRES,9.0,1.30785825,103.8888729
44555,62 JLN MA'MOR,KALLANG/WHAMPOA,62,JLN MA'MOR,2.0,1.3282719,103.8579644
44556,62 LOR 4 TOA PAYOH,TOA PAYOH,62,LOR 4 TOA PAYOH,30.0,1.3363024,103.8515017
44564,62 MARINE DR,MARINE PARADE,62,MARINE DR,14.0,1.3026743,103.9090363
44569,62 NEW UPP CHANGI RD,BEDOK,62,NEW UPP CHANGI RD,16.0,1.3233129,103.939956
44575,62 TEBAN GDNS RD,JURONG EAST,62,TEBAN GDNS RD,25.0,1.3215991,103.7389133
44582,62 TELOK BLANGAH HTS,BUKIT MERAH,62,TELOK BLANGAH HTS,12.0,1.27523515,103.8111689
44589,620 ANG MO KIO AVE 9,ANG MO KIO,620,ANG MO KIO AVE 9,12.0,1.3825503,103.8394879
44594,620 BEDOK RESERVOIR RD,BEDOK,620,BEDOK RESERVOIR RD,11.0,1.3338653,103.9182197
44599,620 BT BATOK CTRL,BUKIT BATOK,620,BT BATOK CTRL,30.0,1.3496843,103.7484362
44606,620 BT PANJANG RING RD,BUKIT PANJANG,620,BT PANJANG RING RD,20.0,1.3858349,103.7616248
44617,620 CHOA CHU KANG ST 62,CHOA CHU KANG,620,CHOA CHU KANG ST 62,12.0,1.3995482,103.7471048
44626,620 HOUGANG AVE 8,HOUGANG,620,HOUGANG AVE 8,12.0,1.37019715,103.8837965
44630,620 JURONG WEST ST 65,JURONG WEST,620,JURONG WEST ST 65,16.0,1.34144675,103.6993808
44640,620 WOODLANDS DR 52,WOODLANDS,620,WOODLANDS DR 52,12.0,1.4335812000000003,103.79869779999999
44644,620 YISHUN RING RD,YISHUN,620,YISHUN RING RD,12.0,1.418049,103.8363464
44652,621 ANG MO KIO AVE 9,ANG MO KIO,621,ANG MO KIO AVE 9,12.0,1.3830765,103.8405803
44660,621 BEDOK RESERVOIR RD,BEDOK,621,BEDOK RESERVOIR RD,11.0,1.33454915,103.9168438
44666,621 BT BATOK CTRL,BUKIT BATOK,621,BT BATOK CTRL,30.0,1.35024,103.7483417
44674,621 CHOA CHU KANG ST 62,CHOA CHU KANG,621,CHOA CHU KANG ST 62,12.0,1.3988544,103.7470454
44682,621 HOUGANG AVE 8,HOUGANG,621,HOUGANG AVE 8,4.0,1.37011165,103.8831192
44684,621 JURONG WEST ST 65,JURONG WEST,621,JURONG WEST ST 65,16.0,1.3410727,103.6997519
44690,621 SENJA RD,BUKIT PANJANG,621,SENJA RD,20.0,1.3861728,103.7627441
44701,621 WOODLANDS DR 52,WOODLANDS,621,WOODLANDS DR 52,12.0,1.434049,103.7980101
44709,621 YISHUN RING RD,YISHUN,621,YISHUN RING RD,12.0,1.418049,103.8363464
44716,622 ANG MO KIO AVE 9,ANG MO KIO,622,ANG MO KIO AVE 9,12.0,1.3817737500000002,103.83979810000002
44722,622 BEDOK RESERVOIR RD,BEDOK,622,BEDOK RESERVOIR RD,12.0,1.33405435,103.91685600000001
44726,622 BT BATOK CTRL,BUKIT BATOK,622,BT BATOK CTRL,30.0,1.3507314,103.7484952
44733,622 HOUGANG AVE 8,HOUGANG,622,HOUGANG AVE 8,4.0,1.3702276,103.8829004
44734,622 JURONG WEST ST 61,JURONG WEST,622,JURONG WEST ST 61,16.0,1.3407142,103.6990981
44745,622 SENJA RD,BUKIT PANJANG,622,SENJA RD,20.0,1.38610745,103.7613158
44756,622 WOODLANDS DR 52,WOODLANDS,622,WOODLANDS DR 52,12.0,1.43439965,103.7988638
44764,622 YISHUN RING RD,YISHUN,622,YISHUN RING RD,12.0,1.418371,103.8350049
44772,622A PUNGGOL CTRL,PUNGGOL,622A,PUNGGOL CTRL,18.0,1.4000372,103.9110856
44784,622B PUNGGOL CTRL,PUNGGOL,622B,PUNGGOL CTRL,18.0,1.40029785,103.9107521
44794,622C PUNGGOL CTRL,PUNGGOL,622C,PUNGGOL CTRL,18.0,1.40072155,103.9107684
44806,623 ANG MO KIO AVE 9,ANG MO KIO,623,ANG MO KIO AVE 9,12.0,1.3827447,103.8408445
44815,623 BEDOK RESERVOIR RD,BEDOK,623,BEDOK RESERVOIR RD,12.0,1.333642,103.9168193
44819,623 BT BATOK CTRL,BUKIT BATOK,623,BT BATOK CTRL,18.0,1.3509185,103.74940120000001
44826,623 HOUGANG AVE 8,HOUGANG,623,HOUGANG AVE 8,12.0,1.3705035,103.8823226
44830,623 JURONG WEST ST 61,JURONG WEST,623,JURONG WEST ST 61,16.0,1.34052395,103.6980509
44841,623 SENJA RD,BUKIT PANJANG,623,SENJA RD,20.0,1.38630285,103.762205
